
# Participant 11 (/Game/Spooky/Maps/UserStudy/LeapOnly)18 Apr 2018 4:14:07 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 841.524475 false -169.213638 -50.931946 -7.807131 3.370544 1 120.885414 26.951033 -156.659042
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 848.282654 false -91.602806 -59.579319 -7.807131 6.758179 3 274.299011 -65.728722 -62.260056
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 851.018555 false -248.099121 54.987434 -7.807131 2.735901 2 63.113804 -19.48259 -30.162046
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 855.956299 true -120.372131 -44.097164 0.05 4.937744 2 291.127594 -34.12627 -167.360703
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 860.379211 false -182.744751 34.553284 -7.807131 4.422913 2 44.990494 -23.125921 32.064365
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 863.107849 false 99799.0 99999.0 99991.195313 2.728638 3 0.09418 -2.201531 26.648851
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
PN 863.107849 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
# Participant 11 (/Game/Spooky/Maps/UserStudy/FusedTracking)18 Apr 2018 4:17:17 pm
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 875.905579 false -161.381195 25.454763 -7.807131 7.722778 1 236.658752 57.62447 -166.587799
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 878.660034 false -93.974503 -20.247118 -7.807131 2.754456 1 250.564621 75.799057 -56.633129
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 881.493103 true -79.599472 -98.135162 0.05 2.833069 1 210.59108 -142.913254 220.843719
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 884.699341 true 39.08371 25.380728 0.05 3.206238 1 245.899857 15.629277 251.22319
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 888.371765 false -147.442551 64.269333 -7.807131 3.672424 2 132.674515 178.676331 342.348083
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 891.661072 false 17.524323 -63.131603 -7.807131 3.289307 1 222.646606 -27.185583 253.358932
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 898.724426 false -224.309662 88.857445 -7.807131 7.063354 1 22.708715 111.749283 215.119034
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 903.806091 false -137.847168 70.139206 -7.807131 5.081665 1 201.987183 161.815704 543.146484
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 907.456299 false -129.942581 -165.45517 -7.807131 3.650208 1 76.716301 -88.268456 372.675903
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 909.469604 false -238.83316 -37.485046 -7.807131 2.013306 2 -46.314526 -52.970081 49.250317
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 912.401733 false -194.860046 14.209943 -7.807131 2.932129 2 47.919807 -32.735542 73.570076
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
