
LP 991.226868 false -45.70105 67.97522 -7.807131 2.866211 1 219.626236 -44.809624 -51.255672
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 994.648315 false -202.222946 22.311167 -7.807131 3.421448 1 -78.856735 14.808366 11.346923
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 997.182495 true -40.58548 -17.552254 0.05 2.53418 1 235.814468 -57.462585 19.701878
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 999.580261 false -289.588257 63.895981 -7.807131 2.397766 1 43.870865 -32.095535 20.511494
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1000.78009 false 99799.0 99999.0 99991.195313 1.199829 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1000.78009 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
